country_code,country_name,indicator_id,indicator_name,index_id,index_name,value,year
#country+code,#country+name,#indicator+id,#indicator+name,#index+id,#index+name,#indicator+value+num,#date+year
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,142.96,1990
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,147.525,1991
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,147.521,1992
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,147.896,1993
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,155.669,1994
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,156.77,1995
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,154.932,1996
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,156.444,1997
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,154.262,1998
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,154.416,1999
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,152.572,2000
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,150.863,2001
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,148.141,2002
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,143.37,2003
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,138.827,2004
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,133.071,2005
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,126.106,2006
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,125.858,2007
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,128.171,2008
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,120.635,2009
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,120.82,2010
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,116.454,2011
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,111.286,2012
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,106.537,2013
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,101.454,2014
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,97.415,2015
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,94.018,2016
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,90.342,2017
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,88.431,2018
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,86.803,2019
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,84.296,2020
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,82.565,2021
AFG,Afghanistan,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII,Gender Inequality Index,79.735,2022
AFG,Afghanistan,assets,Assets (%),MPI,Multidimensional Poverty Index,2.833,2015/16
AFG,Afghanistan,child_mortality,Child mortality (%),MPI,Multidimensional Poverty Index,10.009,2015/16
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.189,1990
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.178,1991
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.123,1992
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.106,1993
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.094,1994
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.086,1995
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.080,1996
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.073,1997
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.069,1998
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.057,1999
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.054,2000
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.054,2001
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.064,2002
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.069,2003
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.053,2004
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.077,2005
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.085,2006
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.108,2007
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.161,2008
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.233,2009
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.297,2010
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.405,2011
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.329,2012
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.293,2013
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.280,2014
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.290,2015
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.262,2016
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.277,2017
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.295,2018
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.293,2019
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.305,2020
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.306,2021
AFG,Afghanistan,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),PHDI,Planetary pressures–adjusted Human Development Index,0.306,2022
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,35.768,2010
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,35.453,2011
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,34.755,2012
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,34.478,2013
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,34.322,2014
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,34.316,2015
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,34.035,2016
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,34.220,2017
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,34.032,2018
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,33.871,2019
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,33.675,2020
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,33.585,2021
AFG,Afghanistan,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,34.206,2022
AFG,Afghanistan,cooking_fuel,Cooking fuel (%),MPI,Multidimensional Poverty Index,10.072,2015/16
AFG,Afghanistan,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,1.056,1990
AFG,Afghanistan,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,1.027,1991
AFG,Afghanistan,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,1.003,1992
AFG,Afghanistan,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,0.977,1993
AFG,Afghanistan,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,0.667,1994
AFG,Afghanistan,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,0.943,1995
AFG,Afghanistan,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,0.920,1996
AFG,Afghanistan,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,0.909,1997
